category_id,category_raw_name,category_display_name,act_group,parent_category,is_leaf,section_reference
28,"cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - B) ATMs","Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - B) ATMs",IPC,IPC Crimes,1,"Sec.420 r/w Sec.465, 468- 471 IPC"
29,"cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - C) Online Banking Fraud","Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - C) Online Banking Fraud",IPC,IPC Crimes,1,"Sec.420 r/w Sec.465, 468- 471 IPC"
30,"cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - D) OTP Frauds","Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - D) OTP Frauds",IPC,IPC Crimes,1,"Sec.420 r/w Sec.465, 468- 471 IPC"
31,"cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - E) Others","Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - E) Others",IPC,IPC Crimes,1,"Sec.420 r/w Sec.465, 468- 471 IPC"
32,cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Cheating (Sec.420 IPC),Cheating (Sec.420 IPC),IPC,IPC Crimes,1,Sec.420 IPC
33,"cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Forgery (Sec.465, 468 and 471)","Forgery (Sec.465, 468 and 471)",IPC,IPC Crimes,1,"Sec.465, 468 and 471"
34,cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Defamation/ Morphing (Sec.469 IPC r/w IPC and Indecent representation of women Act),Defamation/ Morphing (Sec.469 IPC r/w IPC and Indecent representation of women Act),IPC,IPC Crimes,1,Sec.469 IPC r/w IPC and Indecent representation of women Act
35,cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fake Profile (r/w IPC/SLL),Fake Profile (r/w IPC/SLL),IPC,IPC Crimes,1,
36,cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Counterfeiting - Counterfeiting (Total),Counterfeiting - Counterfeiting (Total),IPC,IPC Crimes,0,
37,cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Counterfeiting - A) Currency (Sec.489A to 489E),Counterfeiting - A) Currency (Sec.489A to 489E),IPC,IPC Crimes,1,Sec.489A to 489E
