antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,support_count,antecedent_count,consequent_count,antecedent_str,consequent_str,rule_str,ant_len,con_len
0.3333333333333333,0.4166666666666667,0.3333333333333333,1.0,2.4,1.0,0.19444444444444442,inf,0.8749999999999998,0.7999999999999999,1.0,0.8999999999999999,12,12,15,HIGH_CHILD_CYBERCRIME + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING -> HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,3,2
0.3333333333333333,0.4166666666666667,0.3333333333333333,1.0,2.4,1.0,0.19444444444444442,inf,0.8749999999999998,0.7999999999999999,1.0,0.8999999999999999,12,12,15,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING -> HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,2,3
0.3333333333333333,0.4166666666666667,0.3333333333333333,1.0,2.4,1.0,0.19444444444444442,inf,0.8749999999999998,0.7999999999999999,1.0,0.8999999999999999,12,12,15,HIGH_EXTORTION_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_EXTORTION_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,3,2
0.3333333333333333,0.4166666666666667,0.3333333333333333,1.0,2.4,1.0,0.19444444444444442,inf,0.8749999999999998,0.7999999999999999,1.0,0.8999999999999999,12,12,15,HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,2,3
0.3333333333333333,0.4166666666666667,0.3333333333333333,1.0,2.4,1.0,0.19444444444444442,inf,0.8749999999999998,0.7999999999999999,1.0,0.8999999999999999,12,12,15,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_SEC66D_CHEATING,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_SEC66D_CHEATING -> HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,3,2
0.3333333333333333,0.4166666666666667,0.3333333333333333,1.0,2.4,1.0,0.19444444444444442,inf,0.8749999999999998,0.7999999999999999,1.0,0.8999999999999999,12,12,15,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING -> HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,2,3
0.3333333333333333,0.4166666666666667,0.3333333333333333,1.0,2.4,1.0,0.19444444444444442,inf,0.8749999999999998,0.7999999999999999,1.0,0.8999999999999999,12,12,15,HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,2,2
0.3333333333333333,0.4166666666666667,0.3333333333333333,1.0,2.4,1.0,0.19444444444444442,inf,0.8749999999999998,0.7999999999999999,1.0,0.8999999999999999,12,12,15,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING -> HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,2,2
0.3055555555555556,0.4166666666666667,0.3055555555555556,1.0,2.4,1.0,0.17824074074074076,inf,0.8400000000000001,0.7333333333333333,1.0,0.8666666666666667,11,11,15,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,5,2
0.3055555555555556,0.4166666666666667,0.3055555555555556,1.0,2.4,1.0,0.17824074074074076,inf,0.8400000000000001,0.7333333333333333,1.0,0.8666666666666667,11,11,15,HIGH_CHILD_CYBERCRIME + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,4,3
0.3055555555555556,0.4166666666666667,0.3055555555555556,1.0,2.4,1.0,0.17824074074074076,inf,0.8400000000000001,0.7333333333333333,1.0,0.8666666666666667,11,11,15,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,4,3
0.3055555555555556,0.4166666666666667,0.3055555555555556,1.0,2.4,1.0,0.17824074074074076,inf,0.8400000000000001,0.7333333333333333,1.0,0.8666666666666667,11,11,15,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,3,4
0.3055555555555556,0.4166666666666667,0.3055555555555556,1.0,2.4,1.0,0.17824074074074076,inf,0.8400000000000001,0.7333333333333333,1.0,0.8666666666666667,11,11,15,HIGH_CHILD_CYBERCRIME + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_IDENTITY_THEFT + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,4,2
0.3055555555555556,0.4166666666666667,0.3055555555555556,1.0,2.4,1.0,0.17824074074074076,inf,0.8400000000000001,0.7333333333333333,1.0,0.8666666666666667,11,11,15,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_FRAUD_MOTIVE + HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,3,3
0.3055555555555556,0.4166666666666667,0.3055555555555556,1.0,2.4,1.0,0.17824074074074076,inf,0.8400000000000001,0.7333333333333333,1.0,0.8666666666666667,11,11,15,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,4,2
0.3055555555555556,0.4166666666666667,0.3055555555555556,1.0,2.4,1.0,0.17824074074074076,inf,0.8400000000000001,0.7333333333333333,1.0,0.8666666666666667,11,11,15,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,3,3
0.3055555555555556,0.4166666666666667,0.3055555555555556,1.0,2.4,1.0,0.17824074074074076,inf,0.8400000000000001,0.7333333333333333,1.0,0.8666666666666667,11,11,15,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME,HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_SEC66D_CHEATING + HIGH_WOMEN_CYBERCRIME -> HIGH_FRAUD_MOTIVE + HIGH_SEXUAL_EXPLOITATION_MOTIVE,3,2
0.4166666666666667,0.4444444444444444,0.4166666666666667,1.0,2.25,1.0,0.2314814814814815,inf,0.9523809523809527,0.9375,1.0,0.96875,15,15,16,HIGH_EXTORTION_MOTIVE + HIGH_WOMEN_CYBERCRIME,HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_EXTORTION_MOTIVE + HIGH_WOMEN_CYBERCRIME -> HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,2,2
0.4166666666666667,0.4444444444444444,0.4166666666666667,1.0,2.25,1.0,0.2314814814814815,inf,0.9523809523809527,0.9375,1.0,0.96875,15,15,16,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE,HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_CHILD_CYBERCRIME + HIGH_EXTORTION_MOTIVE -> HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,2,2
0.3888888888888889,0.4444444444444444,0.3888888888888889,1.0,2.25,1.0,0.2160493827160494,inf,0.9090909090909091,0.8750000000000002,1.0,0.9375,14,14,16,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_WOMEN_CYBERCRIME,HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,HIGH_EXTORTION_MOTIVE + HIGH_FRAUD_MOTIVE + HIGH_WOMEN_CYBERCRIME -> HIGH_IDENTITY_THEFT + HIGH_SEXUAL_EXPLOITATION_MOTIVE,3,2
